canonicalName,aliases,sourcePath,componentType,serviceDomainPlane,capabilityDescription,backendApiContractStatus,frontendSurfaceExpected,currentFrontendRouteComponent,mobileSurfaceExpected,currentMobileScreenComponent,apiClientHook,workflowEventDependency,databaseMigrationDependency,trustSecurityDependency,relatedServices,currentCompletenessStatus,currentBlocker,recommendedClassification
"shared-kernel-java","shared-kernel-java","libs/shared-kernel-java","shared-library","platform","Shared internal library: shared-kernel-java","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"security-baseline","security-baseline","libs/security-baseline","shared-library","platform","Shared internal library: security-baseline","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"shared-core","shared-core","services/shared-core","shared-library","platform","Shared internal library: shared-core","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"tshepo-contracts","tshepo-contracts","libs/tshepo-contracts","shared-library","platform","Shared internal library: tshepo-contracts","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"tshepo-sdk","tshepo-sdk","libs/tshepo-sdk","shared-library","platform","Shared internal library: tshepo-sdk","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"tech-companion","tech-companion","libs/tech-companion","shared-library","platform","Shared internal library: tech-companion","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"federation-connector","federation-connector","libs/federation-connector","shared-library","platform","Shared internal library: federation-connector","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"tech-companion-harness","tech-companion-harness","libs/tech-companion-harness","shared-library","platform","Shared internal library: tech-companion-harness","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"tech-companion-mock","tech-companion-mock","libs/tech-companion-mock","shared-library","platform","Shared internal library: tech-companion-mock","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"ops-instrumentation","ops-instrumentation","libs/ops-instrumentation","shared-library","platform","Shared internal library: ops-instrumentation","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"offline-sdk","offline-sdk","libs/offline-sdk","shared-library","platform","Shared internal library: offline-sdk","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"contract-tests","contract-tests","libs/contract-tests","shared-library","platform","Shared internal library: contract-tests","n/a","no","","no","","","","none","indirect","all services","library","","shared-internal-library"
"ai-model-registry-service","Ai Model Registry","services/ai-model-registry-service","backend-service","data/intelligence","Ai Model Registry canonical records","contract: contracts/openapi/ai-model-registry.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","1 migration(s) in ai-model-registry-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","data-analytics-ai-service"
"ai-model-registry-service:AiRegistryV11ProbeController","/internal/v1","services/ai-model-registry-service/src/main/java/zw/gov/mohcc/impilo/air/api/AiRegistryV11ProbeController.java","backend-controller","data/intelligence","REST controller for ai-model-registry-service","contracts/openapi/ai-model-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","ai-model-registry-service","implemented-or-partial","","data-analytics-ai-service"
"ai-model-registry-service:DriftEventController","/internal/v1/ai-registry/drift-events","services/ai-model-registry-service/src/main/java/zw/gov/mohcc/impilo/air/api/DriftEventController.java","backend-controller","data/intelligence","REST controller for ai-model-registry-service","contracts/openapi/ai-model-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","ai-model-registry-service","implemented-or-partial","","data-analytics-ai-service"
"ai-model-registry-service:InferenceRecordController","/internal/v1/ai-registry/inference-records","services/ai-model-registry-service/src/main/java/zw/gov/mohcc/impilo/air/api/InferenceRecordController.java","backend-controller","data/intelligence","REST controller for ai-model-registry-service","contracts/openapi/ai-model-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","ai-model-registry-service","implemented-or-partial","","data-analytics-ai-service"
"ai-model-registry-service:ModelController","/internal/v1/ai-registry/models","services/ai-model-registry-service/src/main/java/zw/gov/mohcc/impilo/air/api/ModelController.java","backend-controller","data/intelligence","REST controller for ai-model-registry-service","contracts/openapi/ai-model-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","ai-model-registry-service","implemented-or-partial","","data-analytics-ai-service"
