journeyId,journeyName,coreTransactionType,classification,implStatus,missingBackend,missingFrontend,backendServices,frontendRouteCount,mobileScreenCount,poAcceptanceTest
"citizen-onboarding","Citizen / Client Onboarding","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","","vito-service; tshepo-identity-service; identity-assurance-service; tshepo-consent-service; experience-bff","4","2","Citizen completes registration, receives Health ID, sees next-step guidance"
"provider-login","Provider Login & Role Activation","ADMINISTRATIVE_HEALTH","transaction-complete","wired","","","tshepo-authz-service; tshepo-identity-service; varapi-service; experience-bff","6","2","Provider signs in with Provider ID, activates role, lands in workspace"
"workspace-context-selection","Workspace / Shift Context Selection","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","","tuso-service; experience-bff","8","0","Provider selects workspace/shift; subsequent requests carry trust context"
"facility-context-selection","Facility Context Selection","ADMINISTRATIVE_HEALTH","transaction-complete","wired","","","tuso-service; experience-bff","2","57","Provider selects facility; queue and EHR routes become available"
"patient-search-selection","Patient Search & Selection","FACILITY_WALK_IN","transaction-complete","wired","","","vito-service; experience-bff; pct-service","36","0","Provider searches patient, selects, opens chart with correct CPID"
"queue-walk-in","Queue / Walk-in Registration","FACILITY_WALK_IN","transaction-complete","wired","","","pct-service; vito-service; tuso-service; experience-bff","7","1","Walk-in registered, appears in queue, provider can call"
"provider-patient-encounter","Provider Patient Encounter","FACILITY_WALK_IN","transaction-complete","wired","","","pct-service; butano-service; experience-bff; guidance-service","3","1","Provider completes encounter end-to-end with real PCT data"
"outpatient-consultation","Outpatient Consultation","FACILITY_WALK_IN","transaction-complete","partial","","","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","50","3","Outpatient consult documented with vitals, note, and next steps"
"inpatient-admission","Inpatient Admission Workflow","EMERGENCY","transaction-complete","partial","","","inpatient-service; pct-service; tuso-service; experience-bff","36","2","Patient admitted, bed assigned, visible in ward worklist"
"telemedicine-encounter","Telemedicine Encounter","TELEMEDICINE","transaction-complete","wired","","","pct-service; mvumo-service; rtc-gateway-service; analytics-pipeline-service; experience-bff","4","3","Teleconsult created, consented, governed RTC token issued, referral persisted"
"lab-order-result","Lab Order & Result","LABORATORY","transaction-complete","wired","","","oros-service; pct-service; butano-service; experience-bff","7","3","Lab ordered and result returned to provider worklist"
"imaging-order-result","Imaging Order & Result","IMAGING","transaction-complete","wired","","","pacs-adapter-service; oros-service; document-service; experience-bff","35","1","Imaging study visible in viewer with audit trail"
"prescription-dispense","Prescription & Dispense","PHARMACY","transaction-complete","wired","","","pharmacy-service; pct-service; zibo-service; experience-bff","6","1","Prescription created, dispensed, visible in patient meds"
"referral-create","Referral Create & Manage","REFERRAL","transaction-complete","wired","","","pct-service; referral-service; tuso-service; varapi-service; experience-bff","2","1","Referral created, routed, visible at destination facility"
"appointment-scheduling","Appointment Scheduling","APPOINTMENT","transaction-complete","partial","","","scheduling-service; booking-service; tuso-service; notification-service; experience-bff","8","2","Appointment booked and appears in facility schedule"
"consent-capture","Consent Capture","ADMINISTRATIVE_HEALTH","transaction-complete","wired","","","mvumo-service; tshepo-consent-service; experience-bff","10","1","Consent captured, enforced on subsequent clinical access"
"payment-billing-claim","Payment / Billing / Exemption / Claim","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","","costing-engine-service; mushex-service; coverage-service; mushe-wallet-service; experience-bff","28","4","Bill generated, payment or claim completed with audit"
"document-upload","Document Upload / Scan / Index","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","","document-service; landela-adapter-service; experience-bff","1","1","Document uploaded, indexed, retrievable in chart"
"dispatch-delivery","Dispatch / Delivery (NHUME)","MARKETPLACE","transaction-complete","wired","","","dispatch-service; nhume-service; oros-service; experience-bff","18","2","Courier completes delivery run with POD"
"notification-comms","Notification & Communications","ADMINISTRATIVE_HEALTH","transaction-complete","wired","","","notification-service; channels-service; community-service; experience-bff","3","3","Notification sent and delivery status visible"
"fundo-learning","Fundo / Learning Journey","TRAINING_OR_COMPETENCY","transaction-complete","partial","","","learning-service; varapi-service; experience-bff","54","2","Provider enrols, completes module, CPD reflected"
"reporting-dashboard","Data / Report / Dashboard Journey","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","","reporting-service; data-warehouse-service; surveillance-service; experience-bff","18","3","Analyst runs report with correct scope and audit"
"registry-administration","Registry Administration","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","34","1","Registry admin reconciles record with full audit"
"integration-sync-replay","Integration / Sync / Replay","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","","integration-hub; connector-fhir-adapter; fhir-gateway-service; offline-sync-service; experience-bff","6","0","Integration message processed or dead-lettered with replay"
"device-system-event","Device / System Event Journey","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","ops admin surface only (by design)","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","48","0","Device event ingested and auditable"
"health-id-issuance","Health ID Issuance & Card Ops","ADMINISTRATIVE_HEALTH","transaction-complete","wired","","","vito-service; card-print-agent; share-slip-service; experience-bff","16","1","Health ID issued, card printed, pickup verified"
"marketplace-order","Marketplace Order","MARKETPLACE","transaction-complete","wired","","","msika-flow-service; msika-service; mushe-wallet-service; experience-bff","12","7","Citizen places order and tracks fulfilment"
"wellness-journey","Wellness & Lifestyle Journey","WELLNESS","transaction-complete","partial","","","wellness-service; simba-service; guidance-service; experience-bff","13","1","Citizen tracks wellness activity with real backend"
"impilo-live-events","Impilo Live Events","WELLNESS","backend-ready-but-frontend-incomplete","wired","","","live-service; rtc-gateway-service; booking-service; experience-bff","13","6","Citizen discovers live event and joins governed room"
